species;audio_name;spectrogram_name;sec_i;sec_f
Acrocephalus arundinaceus;XC417425.mp3;XC417425_17.npy;18.924;19.924
Acrocephalus arundinaceus;XC417425.mp3;XC417425_18.npy;19.724;20.724
Acrocephalus arundinaceus;XC417425.mp3;XC417425_19.npy;20.524;21.524
Acrocephalus arundinaceus;XC417425.mp3;XC417425_20.npy;21.324;22.324
Acrocephalus arundinaceus;XC417425.mp3;XC417425_21.npy;22.124;22.827
Acrocephalus arundinaceus;XC417425.mp3;XC417425_22.npy;25.722;26.722
Acrocephalus arundinaceus;XC417425.mp3;XC417425_23.npy;26.522;27.522
Acrocephalus arundinaceus;XC417425.mp3;XC417425_24.npy;27.322;28.322
Acrocephalus arundinaceus;XC417425.mp3;XC417425_25.npy;28.122;29.122
Acrocephalus arundinaceus;XC417425.mp3;XC417425_26.npy;28.922;29.922
Acrocephalus arundinaceus;XC417425.mp3;XC417425_27.npy;29.722;30.722
Acrocephalus arundinaceus;XC417425.mp3;XC417425_28.npy;30.522;31.522
Acrocephalus arundinaceus;XC417425.mp3;XC417425_29.npy;31.322;32.322
Acrocephalus arundinaceus;XC417425.mp3;XC417425_30.npy;32.122;33.122
Acrocephalus arundinaceus;XC417425.mp3;XC417425_31.npy;32.922;33.374
Acrocephalus arundinaceus;XC417425.mp3;XC417425_32.npy;36.324;37.324
Acrocephalus arundinaceus;XC417425.mp3;XC417425_33.npy;37.124;38.124
Acrocephalus arundinaceus;XC417425.mp3;XC417425_34.npy;37.924;38.924
Acrocephalus arundinaceus;XC417425.mp3;XC417425_35.npy;38.724;39.724
Acrocephalus arundinaceus;XC417425.mp3;XC417425_36.npy;39.524;40.524
Acrocephalus arundinaceus;XC417425.mp3;XC417425_37.npy;40.324;41.324
Acrocephalus arundinaceus;XC417425.mp3;XC417425_38.npy;41.124;42.124
Acrocephalus arundinaceus;XC417425.mp3;XC417425_39.npy;41.924;42.924
Acrocephalus arundinaceus;XC417425.mp3;XC417425_40.npy;42.724;43.724
Acrocephalus arundinaceus;XC417425.mp3;XC417425_41.npy;43.524;43.737
Acrocephalus arundinaceus;XC417425.mp3;XC417425_42.npy;46.226;47.226
Acrocephalus arundinaceus;XC417425.mp3;XC417425_43.npy;47.026;48.026
Acrocephalus arundinaceus;XC417425.mp3;XC417425_44.npy;47.826;48.826
Acrocephalus arundinaceus;XC417425.mp3;XC417425_45.npy;48.626;49.626
Acrocephalus arundinaceus;XC417425.mp3;XC417425_46.npy;49.426;50.426
Acrocephalus arundinaceus;XC417425.mp3;XC417425_47.npy;50.226;51.226
Acrocephalus arundinaceus;XC417425.mp3;XC417425_48.npy;51.026;52.026
Acrocephalus arundinaceus;XC417425.mp3;XC417425_49.npy;51.826;52.826
Acrocephalus arundinaceus;XC417425.mp3;XC417425_50.npy;52.626;53.626
Acrocephalus arundinaceus;XC417425.mp3;XC417425_51.npy;53.426;54.426
Acrocephalus arundinaceus;XC417425.mp3;XC417425_52.npy;54.226;55.226
Acrocephalus arundinaceus;XC417425.mp3;XC417425_53.npy;55.026;56.026
Acrocephalus arundinaceus;XC417425.mp3;XC417425_54.npy;55.826;56.349
Acrocephalus arundinaceus;XC417425.mp3;XC417425_55.npy;58.432;59.432
Acrocephalus arundinaceus;XC417425.mp3;XC417425_56.npy;59.232;60.232
Acrocephalus arundinaceus;XC417425.mp3;XC417425_57.npy;60.032;61.032
Acrocephalus arundinaceus;XC417425.mp3;XC417425_58.npy;60.832;61.832
Acrocephalus arundinaceus;XC417425.mp3;XC417425_59.npy;61.632;62.249
Acrocephalus arundinaceus;XC417425.mp3;XC417425_60.npy;65.107;66.107
Acrocephalus arundinaceus;XC417425.mp3;XC417425_61.npy;65.907;66.907
Acrocephalus arundinaceus;XC417425.mp3;XC417425_62.npy;66.707;67.707
Acrocephalus arundinaceus;XC417425.mp3;XC417425_63.npy;67.507;68.507
Acrocephalus arundinaceus;XC417425.mp3;XC417425_64.npy;68.307;69.307
Acrocephalus arundinaceus;XC417425.mp3;XC417425_65.npy;69.107;70.107
Acrocephalus arundinaceus;XC417425.mp3;XC417425_66.npy;69.907;70.907
Acrocephalus arundinaceus;XC417425.mp3;XC417425_67.npy;70.707;71.707
Acrocephalus arundinaceus;XC417425.mp3;XC417425_68.npy;71.507;72.507
Acrocephalus arundinaceus;XC417425.mp3;XC417425_69.npy;72.307;73.307
Acrocephalus arundinaceus;XC417425.mp3;XC417425_70.npy;73.107;74.107
Acrocephalus arundinaceus;XC417425.mp3;XC417425_71.npy;73.907;74.907
Acrocephalus arundinaceus;XC417425.mp3;XC417425_72.npy;74.707;75.304
Acrocephalus arundinaceus;XC417425.mp3;XC417425_73.npy;76.502;77.502
Acrocephalus arundinaceus;XC417425.mp3;XC417425_74.npy;77.302;78.302
Acrocephalus arundinaceus;XC417425.mp3;XC417425_75.npy;78.102;79.102
Acrocephalus arundinaceus;XC417425.mp3;XC417425_76.npy;78.902;79.902
Acrocephalus arundinaceus;XC417425.mp3;XC417425_77.npy;79.702;80.702
Acrocephalus arundinaceus;XC417425.mp3;XC417425_78.npy;80.502;81.502
Acrocephalus arundinaceus;XC417425.mp3;XC417425_79.npy;81.302;82.302
Acrocephalus arundinaceus;XC417425.mp3;XC417425_80.npy;82.102;83.102
Acrocephalus arundinaceus;XC417425.mp3;XC417425_81.npy;82.902;83.902
Acrocephalus arundinaceus;XC417425.mp3;XC417425_82.npy;83.702;84.702
Acrocephalus arundinaceus;XC417425.mp3;XC417425_83.npy;84.502;85.502
Acrocephalus arundinaceus;XC417425.mp3;XC417425_84.npy;85.302;86.017
Acrocephalus arundinaceus;XC417425.mp3;XC417425_85.npy;88.746;89.746
Acrocephalus arundinaceus;XC417425.mp3;XC417425_86.npy;89.546;90.546
Acrocephalus arundinaceus;XC417425.mp3;XC417425_87.npy;90.346;91.346
Acrocephalus arundinaceus;XC417425.mp3;XC417425_88.npy;91.146;92.146
Acrocephalus arundinaceus;XC417425.mp3;XC417425_89.npy;91.946;92.946
Acrocephalus arundinaceus;XC417425.mp3;XC417425_90.npy;92.746;93.746
Acrocephalus arundinaceus;XC417425.mp3;XC417425_91.npy;93.546;94.546
Acrocephalus arundinaceus;XC417425.mp3;XC417425_92.npy;94.346;95.346
Acrocephalus arundinaceus;XC417425.mp3;XC417425_93.npy;95.146;95.457
Acrocephalus arundinaceus;XC417425.mp3;XC417425_94.npy;97.393;98.393
Acrocephalus arundinaceus;XC417425.mp3;XC417425_95.npy;98.193;99.193
Acrocephalus arundinaceus;XC417425.mp3;XC417425_96.npy;98.993;99.993
Acrocephalus arundinaceus;XC417425.mp3;XC417425_97.npy;99.793;100.793
Acrocephalus arundinaceus;XC417425.mp3;XC417425_98.npy;100.593;101.593
Acrocephalus arundinaceus;XC417425.mp3;XC417425_99.npy;101.393;102.393
Acrocephalus arundinaceus;XC417425.mp3;XC417425_100.npy;102.193;103.193
Acrocephalus arundinaceus;XC417425.mp3;XC417425_101.npy;102.993;103.993
Acrocephalus arundinaceus;XC417425.mp3;XC417425_102.npy;103.793;104.793
Acrocephalus arundinaceus;XC417425.mp3;XC417425_103.npy;104.593;105.593
Acrocephalus arundinaceus;XC417425.mp3;XC417425_104.npy;105.393;106.393
Acrocephalus arundinaceus;XC417425.mp3;XC417425_105.npy;106.193;107.193
Acrocephalus arundinaceus;XC417425.mp3;XC417425_106.npy;106.993;107.993
Acrocephalus arundinaceus;XC417425.mp3;XC417425_107.npy;107.793;108.793
Acrocephalus arundinaceus;XC417425.mp3;XC417425_108.npy;108.593;109.268
Acrocephalus arundinaceus;XC417425.mp3;XC417425_109.npy;111.425;112.425
Acrocephalus arundinaceus;XC417425.mp3;XC417425_110.npy;112.225;113.225
Acrocephalus arundinaceus;XC417425.mp3;XC417425_111.npy;113.025;114.025
Acrocephalus arundinaceus;XC417425.mp3;XC417425_112.npy;113.825;114.825
Acrocephalus arundinaceus;XC417425.mp3;XC417425_113.npy;114.625;115.625
Acrocephalus arundinaceus;XC417425.mp3;XC417425_114.npy;115.425;116.425
Acrocephalus arundinaceus;XC417425.mp3;XC417425_115.npy;116.225;116.514
Acrocephalus arundinaceus;XC417425.mp3;XC417425_116.npy;118.819;119.819
Acrocephalus arundinaceus;XC417425.mp3;XC417425_117.npy;119.619;120.619
Acrocephalus arundinaceus;XC417425.mp3;XC417425_118.npy;120.419;121.419
Acrocephalus arundinaceus;XC417425.mp3;XC417425_119.npy;121.219;122.219
Acrocephalus arundinaceus;XC417425.mp3;XC417425_120.npy;122.019;123.019
Acrocephalus arundinaceus;XC417425.mp3;XC417425_121.npy;122.819;123.819
Acrocephalus arundinaceus;XC417425.mp3;XC417425_122.npy;123.619;124.619
Acrocephalus arundinaceus;XC417425.mp3;XC417425_123.npy;124.419;124.904
Acrocephalus arundinaceus;XC417722.mp3;XC417722_0.npy;0.000;1.000
Acrocephalus arundinaceus;XC417722.mp3;XC417722_1.npy;0.800;1.800
Acrocephalus arundinaceus;XC417722.mp3;XC417722_2.npy;1.600;2.600
Acrocephalus arundinaceus;XC417722.mp3;XC417722_3.npy;2.400;3.104
Acrocephalus arundinaceus;XC417722.mp3;XC417722_4.npy;6.156;7.156
Acrocephalus arundinaceus;XC417722.mp3;XC417722_5.npy;6.956;7.956
Acrocephalus arundinaceus;XC417722.mp3;XC417722_6.npy;7.756;8.756
Acrocephalus arundinaceus;XC417722.mp3;XC417722_7.npy;8.556;9.556
Acrocephalus arundinaceus;XC417722.mp3;XC417722_8.npy;9.356;10.356
Acrocephalus arundinaceus;XC417722.mp3;XC417722_9.npy;10.156;10.608
Acrocephalus arundinaceus;XC417722.mp3;XC417722_10.npy;14.882;15.882
Acrocephalus arundinaceus;XC417722.mp3;XC417722_11.npy;15.682;16.682
Acrocephalus arundinaceus;XC417722.mp3;XC417722_12.npy;16.482;17.482
Acrocephalus arundinaceus;XC417722.mp3;XC417722_13.npy;17.282;18.282
Acrocephalus arundinaceus;XC417722.mp3;XC417722_14.npy;18.082;19.082
Acrocephalus arundinaceus;XC417722.mp3;XC417722_15.npy;18.882;19.882
Acrocephalus arundinaceus;XC417722.mp3;XC417722_16.npy;19.682;20.682
Acrocephalus arundinaceus;XC417722.mp3;XC417722_17.npy;20.482;21.482
Acrocephalus arundinaceus;XC417722.mp3;XC417722_18.npy;21.282;22.282
Acrocephalus arundinaceus;XC417722.mp3;XC417722_19.npy;22.082;23.082
Acrocephalus arundinaceus;XC417722.mp3;XC417722_20.npy;22.882;23.882
Acrocephalus arundinaceus;XC417722.mp3;XC417722_21.npy;23.682;24.682
Acrocephalus arundinaceus;XC417722.mp3;XC417722_22.npy;24.482;25.482
Acrocephalus arundinaceus;XC417722.mp3;XC417722_23.npy;25.282;26.282
Acrocephalus arundinaceus;XC417722.mp3;XC417722_24.npy;26.082;27.082
Acrocephalus arundinaceus;XC417722.mp3;XC417722_25.npy;26.882;27.882
Acrocephalus arundinaceus;XC417722.mp3;XC417722_26.npy;27.682;28.682
Acrocephalus arundinaceus;XC417722.mp3;XC417722_27.npy;28.482;28.798
Acrocephalus arundinaceus;XC417722.mp3;XC417722_28.npy;34.929;35.929
Acrocephalus arundinaceus;XC417722.mp3;XC417722_29.npy;35.729;36.729
Acrocephalus arundinaceus;XC417722.mp3;XC417722_30.npy;36.529;37.529
Acrocephalus arundinaceus;XC417722.mp3;XC417722_31.npy;37.329;38.329
Acrocephalus arundinaceus;XC417722.mp3;XC417722_32.npy;38.129;39.129
Acrocephalus arundinaceus;XC417722.mp3;XC417722_33.npy;38.929;39.929
Acrocephalus arundinaceus;XC417722.mp3;XC417722_34.npy;39.729;40.729
Acrocephalus arundinaceus;XC417722.mp3;XC417722_35.npy;40.529;41.238
Acrocephalus arundinaceus;XC417722.mp3;XC417722_36.npy;47.318;48.318
Acrocephalus arundinaceus;XC417722.mp3;XC417722_37.npy;48.118;49.118
Acrocephalus arundinaceus;XC417722.mp3;XC417722_38.npy;48.918;49.918
Acrocephalus arundinaceus;XC417722.mp3;XC417722_39.npy;49.718;50.718
Acrocephalus arundinaceus;XC417722.mp3;XC417722_40.npy;50.518;51.518
Acrocephalus arundinaceus;XC417722.mp3;XC417722_41.npy;51.318;51.885
Acrocephalus arundinaceus;XC417722.mp3;XC417722_42.npy;58.805;59.805
Acrocephalus arundinaceus;XC417722.mp3;XC417722_43.npy;59.605;60.605
Acrocephalus arundinaceus;XC417722.mp3;XC417722_44.npy;60.405;61.405
Acrocephalus arundinaceus;XC417722.mp3;XC417722_45.npy;61.205;62.205
Acrocephalus arundinaceus;XC417722.mp3;XC417722_46.npy;62.005;63.005
Acrocephalus arundinaceus;XC417722.mp3;XC417722_47.npy;62.805;63.129
Acrocephalus arundinaceus;XC417722.mp3;XC417722_48.npy;69.782;70.782
Acrocephalus arundinaceus;XC417722.mp3;XC417722_49.npy;70.582;71.582
Acrocephalus arundinaceus;XC417722.mp3;XC417722_50.npy;71.382;72.382
Acrocephalus arundinaceus;XC417722.mp3;XC417722_51.npy;72.182;73.182
Acrocephalus arundinaceus;XC417722.mp3;XC417722_52.npy;72.982;73.982
Acrocephalus arundinaceus;XC417722.mp3;XC417722_53.npy;73.782;74.450
Acrocephalus arundinaceus;XC417722.mp3;XC417722_54.npy;80.314;81.314
Acrocephalus arundinaceus;XC417722.mp3;XC417722_55.npy;81.114;82.114
Acrocephalus arundinaceus;XC417722.mp3;XC417722_56.npy;81.914;82.914
Acrocephalus arundinaceus;XC417722.mp3;XC417722_57.npy;82.714;83.714
Acrocephalus arundinaceus;XC417722.mp3;XC417722_58.npy;83.514;84.079
Acrocephalus arundinaceus;XC419606.mp3;XC419606_0.npy;13.020;14.020
Acrocephalus arundinaceus;XC419606.mp3;XC419606_1.npy;13.820;14.820
Acrocephalus arundinaceus;XC419606.mp3;XC419606_2.npy;14.620;15.620
Acrocephalus arundinaceus;XC419606.mp3;XC419606_3.npy;15.420;16.420
Acrocephalus arundinaceus;XC419606.mp3;XC419606_4.npy;16.220;17.220
Acrocephalus arundinaceus;XC419606.mp3;XC419606_5.npy;17.020;18.020
Acrocephalus arundinaceus;XC419606.mp3;XC419606_6.npy;17.820;18.820
Acrocephalus arundinaceus;XC419606.mp3;XC419606_7.npy;23.079;24.079
Acrocephalus arundinaceus;XC419606.mp3;XC419606_8.npy;23.879;24.879
Acrocephalus arundinaceus;XC419606.mp3;XC419606_9.npy;24.679;25.679
Acrocephalus arundinaceus;XC419606.mp3;XC419606_10.npy;25.479;26.479
Acrocephalus arundinaceus;XC419606.mp3;XC419606_11.npy;26.279;27.279
Acrocephalus arundinaceus;XC419606.mp3;XC419606_12.npy;31.804;32.804
Acrocephalus arundinaceus;XC419606.mp3;XC419606_13.npy;32.604;33.604
Acrocephalus arundinaceus;XC419606.mp3;XC419606_14.npy;33.404;34.404
Acrocephalus arundinaceus;XC419606.mp3;XC419606_15.npy;34.204;34.926
Acrocephalus arundinaceus;XC419606.mp3;XC419606_16.npy;37.754;38.754
Acrocephalus arundinaceus;XC419606.mp3;XC419606_17.npy;38.554;39.554
Acrocephalus arundinaceus;XC419606.mp3;XC419606_18.npy;39.354;40.354
Acrocephalus arundinaceus;XC419606.mp3;XC419606_19.npy;40.154;41.154
Acrocephalus arundinaceus;XC419606.mp3;XC419606_20.npy;40.954;41.954
Acrocephalus arundinaceus;XC419606.mp3;XC419606_21.npy;41.754;42.754
Acrocephalus arundinaceus;XC419606.mp3;XC419606_22.npy;42.554;43.554
Acrocephalus arundinaceus;XC420352.mp3;XC420352_0.npy;16.988;17.988
Acrocephalus arundinaceus;XC420352.mp3;XC420352_1.npy;17.788;18.788
Acrocephalus arundinaceus;XC420352.mp3;XC420352_2.npy;18.588;19.217
Acrocephalus arundinaceus;XC420352.mp3;XC420352_3.npy;61.834;62.834
Acrocephalus arundinaceus;XC420352.mp3;XC420352_4.npy;62.634;63.634
Acrocephalus arundinaceus;XC420352.mp3;XC420352_5.npy;63.434;64.434
Acrocephalus arundinaceus;XC420352.mp3;XC420352_6.npy;64.234;64.775
Acrocephalus arundinaceus;XC420352.mp3;XC420352_7.npy;77.690;78.690
Acrocephalus arundinaceus;XC420352.mp3;XC420352_8.npy;78.490;79.490
Acrocephalus arundinaceus;XC420352.mp3;XC420352_9.npy;79.290;80.290
Acrocephalus arundinaceus;XC420352.mp3;XC420352_10.npy;80.090;81.090
Acrocephalus arundinaceus;XC420352.mp3;XC420352_11.npy;80.890;81.890
Acrocephalus arundinaceus;XC420352.mp3;XC420352_12.npy;81.690;82.690
Acrocephalus arundinaceus;XC420352.mp3;XC420352_13.npy;82.490;82.878
Acrocephalus arundinaceus;XC420352.mp3;XC420352_14.npy;86.896;87.896
Acrocephalus arundinaceus;XC420352.mp3;XC420352_15.npy;87.696;88.696
Acrocephalus arundinaceus;XC420352.mp3;XC420352_16.npy;88.496;89.496
Acrocephalus arundinaceus;XC420352.mp3;XC420352_17.npy;89.296;90.296
Acrocephalus arundinaceus;XC420352.mp3;XC420352_18.npy;90.096;91.096
Acrocephalus arundinaceus;XC420352.mp3;XC420352_19.npy;90.896;91.896
Acrocephalus arundinaceus;XC420352.mp3;XC420352_20.npy;91.696;92.696
Acrocephalus arundinaceus;XC420352.mp3;XC420352_21.npy;92.496;93.496
Acrocephalus arundinaceus;XC420352.mp3;XC420352_22.npy;93.296;94.296
Acrocephalus arundinaceus;XC420352.mp3;XC420352_23.npy;94.096;95.096
Acrocephalus arundinaceus;XC420352.mp3;XC420352_24.npy;94.896;95.896
Acrocephalus arundinaceus;XC420352.mp3;XC420352_25.npy;95.696;96.696
Acrocephalus arundinaceus;XC420352.mp3;XC420352_26.npy;101.199;102.199
Acrocephalus arundinaceus;XC420352.mp3;XC420352_27.npy;101.999;102.999
Acrocephalus arundinaceus;XC420352.mp3;XC420352_28.npy;102.799;103.172
Acrocephalus arundinaceus;XC420352.mp3;XC420352_29.npy;106.807;107.807
Acrocephalus arundinaceus;XC420352.mp3;XC420352_30.npy;107.607;108.607
Acrocephalus arundinaceus;XC420352.mp3;XC420352_31.npy;108.407;109.407
Acrocephalus arundinaceus;XC420352.mp3;XC420352_32.npy;109.207;110.207
Acrocephalus arundinaceus;XC420352.mp3;XC420352_33.npy;110.007;111.007
Acrocephalus arundinaceus;XC420352.mp3;XC420352_34.npy;110.807;111.807
Acrocephalus arundinaceus;XC420352.mp3;XC420352_35.npy;111.607;112.607
Acrocephalus arundinaceus;XC420542.mp3;XC420542_0.npy;1.330;2.330
Acrocephalus arundinaceus;XC420542.mp3;XC420542_1.npy;2.130;3.130
Acrocephalus arundinaceus;XC420542.mp3;XC420542_2.npy;2.930;3.930
Acrocephalus arundinaceus;XC420542.mp3;XC420542_3.npy;3.730;4.230
Acrocephalus arundinaceus;XC420542.mp3;XC420542_4.npy;13.180;14.180
Acrocephalus arundinaceus;XC420542.mp3;XC420542_5.npy;13.980;14.980
Acrocephalus arundinaceus;XC420542.mp3;XC420542_6.npy;14.780;15.780
Acrocephalus arundinaceus;XC420542.mp3;XC420542_7.npy;15.580;16.320
Acrocephalus arundinaceus;XC420542.mp3;XC420542_8.npy;22.370;23.370
Acrocephalus arundinaceus;XC420542.mp3;XC420542_9.npy;23.170;24.170
Acrocephalus arundinaceus;XC420542.mp3;XC420542_10.npy;23.970;24.970
Acrocephalus arundinaceus;XC420542.mp3;XC420542_11.npy;24.770;25.770
Acrocephalus arundinaceus;XC420542.mp3;XC420542_12.npy;25.570;25.900
Acrocephalus arundinaceus;XC420542.mp3;XC420542_13.npy;31.880;32.880
Acrocephalus arundinaceus;XC420542.mp3;XC420542_14.npy;32.680;33.680
Acrocephalus arundinaceus;XC420542.mp3;XC420542_15.npy;33.480;34.480
Acrocephalus arundinaceus;XC420542.mp3;XC420542_16.npy;34.280;35.280
Acrocephalus arundinaceus;XC420542.mp3;XC420542_17.npy;44.840;45.840
Acrocephalus arundinaceus;XC420542.mp3;XC420542_18.npy;45.640;46.640
Acrocephalus arundinaceus;XC420542.mp3;XC420542_19.npy;46.440;47.440
Acrocephalus arundinaceus;XC420542.mp3;XC420542_20.npy;47.240;48.240
Acrocephalus arundinaceus;XC420542.mp3;XC420542_21.npy;52.820;53.820
Acrocephalus arundinaceus;XC420542.mp3;XC420542_22.npy;53.620;54.620
Acrocephalus arundinaceus;XC420542.mp3;XC420542_23.npy;54.420;55.420
Acrocephalus arundinaceus;XC420542.mp3;XC420542_24.npy;55.220;55.850
Acrocephalus arundinaceus;XC420542.mp3;XC420542_25.npy;64.950;65.950
Acrocephalus arundinaceus;XC420542.mp3;XC420542_26.npy;65.750;66.750
Acrocephalus arundinaceus;XC420542.mp3;XC420542_27.npy;66.550;67.550
Acrocephalus arundinaceus;XC420542.mp3;XC420542_28.npy;67.350;67.760
Acrocephalus arundinaceus;XC420542.mp3;XC420542_29.npy;72.340;73.340
Acrocephalus arundinaceus;XC420542.mp3;XC420542_30.npy;73.140;74.140
Acrocephalus arundinaceus;XC420542.mp3;XC420542_31.npy;73.940;74.940
Acrocephalus arundinaceus;XC420542.mp3;XC420542_32.npy;74.740;75.290
Acrocephalus arundinaceus;XC420542.mp3;XC420542_33.npy;79.830;80.830
Acrocephalus arundinaceus;XC420542.mp3;XC420542_34.npy;80.630;81.630
Acrocephalus arundinaceus;XC420542.mp3;XC420542_35.npy;81.430;82.430
Acrocephalus arundinaceus;XC420542.mp3;XC420542_36.npy;82.230;83.230
Acrocephalus arundinaceus;XC420542.mp3;XC420542_37.npy;83.030;83.640
Acrocephalus arundinaceus;XC420542.mp3;XC420542_38.npy;88.390;89.390
Acrocephalus arundinaceus;XC420542.mp3;XC420542_39.npy;89.190;90.190
Acrocephalus arundinaceus;XC420542.mp3;XC420542_40.npy;89.990;90.510
Acrocephalus arundinaceus;XC420542.mp3;XC420542_41.npy;94.280;95.280
Acrocephalus arundinaceus;XC420542.mp3;XC420542_42.npy;95.080;96.080
Acrocephalus arundinaceus;XC420542.mp3;XC420542_43.npy;95.880;96.330
Acrocephalus arundinaceus;XC420542.mp3;XC420542_44.npy;101.140;102.140
Acrocephalus arundinaceus;XC420542.mp3;XC420542_45.npy;101.940;102.940
Acrocephalus arundinaceus;XC420542.mp3;XC420542_46.npy;102.740;103.740
Acrocephalus arundinaceus;XC420542.mp3;XC420542_47.npy;103.540;104.290
Acrocephalus arundinaceus;XC420542.mp3;XC420542_48.npy;110.500;111.500
Acrocephalus arundinaceus;XC420542.mp3;XC420542_49.npy;111.300;112.300
Acrocephalus arundinaceus;XC420542.mp3;XC420542_50.npy;112.100;113.100
Acrocephalus arundinaceus;XC420542.mp3;XC420542_51.npy;112.900;113.900
Acrocephalus arundinaceus;XC420542.mp3;XC420542_52.npy;113.700;114.140
Acrocephalus arundinaceus;XC420542.mp3;XC420542_53.npy;118.640;119.640
Acrocephalus arundinaceus;XC420542.mp3;XC420542_54.npy;119.440;120.440
Acrocephalus arundinaceus;XC420542.mp3;XC420542_55.npy;120.240;121.240
Acrocephalus arundinaceus;XC420542.mp3;XC420542_56.npy;121.040;122.040
Acrocephalus arundinaceus;XC420542.mp3;XC420542_57.npy;128.220;129.220
Acrocephalus arundinaceus;XC420542.mp3;XC420542_58.npy;129.020;130.020
Acrocephalus arundinaceus;XC420542.mp3;XC420542_59.npy;129.820;130.820
Acrocephalus arundinaceus;XC420542.mp3;XC420542_60.npy;130.620;131.620
Acrocephalus arundinaceus;XC420542.mp3;XC420542_61.npy;137.480;138.480
Acrocephalus arundinaceus;XC420542.mp3;XC420542_62.npy;138.280;139.280
Acrocephalus arundinaceus;XC420542.mp3;XC420542_63.npy;139.080;140.080
Acrocephalus arundinaceus;XC420542.mp3;XC420542_64.npy;139.880;140.880
Acrocephalus arundinaceus;XC420542.mp3;XC420542_65.npy;140.680;140.970
Acrocephalus arundinaceus;XC420542.mp3;XC420542_66.npy;204.010;205.010
Acrocephalus arundinaceus;XC420542.mp3;XC420542_67.npy;204.810;205.810
Acrocephalus arundinaceus;XC420542.mp3;XC420542_68.npy;205.610;206.610
Acrocephalus arundinaceus;XC420542.mp3;XC420542_69.npy;206.410;207.410
